风儿vento电视,#genre#
CCTV-1 综合,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001331/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV13新闻频道,rtmp://live-play.cctvnews.cctv.com/cctv/merge_cctv13
CCTV15,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
广东卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001337/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
广东珠江,http://glive.grtn.cn/live/lizhi.m3u8
广西卫视,http://gzly.hkychina.com:6005/udp/239.252.219.183:5140
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
CGTN,https://live.cgtn.com/1000/prog_index.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
日本24新闻,https://n24-cdn-live.ntv.co.jp/ch01/index_high.m3u8
IPV6-1,#genre#
CCTV-1高清,http://gzly.hkychina.com:6005/udp/239.252.219.200:5140
CCTV-2高清,http://gzly.hkychina.com:6005/udp/239.252.220.183:5140
CCTV-3高清,http://gzly.hkychina.com:6005/udp/239.252.219.252:5140
CCTV3高清,http://gzly.hkychina.com:6005/udp/239.252.220.193:5140
CCTV-4高清,http://gzly.hkychina.com:6005/udp/239.252.220.184:5140
CCTV-5高清,http://gzly.hkychina.com:6005/udp/239.252.219.198:5140
CCTV5高清,http://gzly.hkychina.com:6005/udp/239.252.219.236:5140
CCTV-5+高清,http://gzly.hkychina.com:6005/udp/239.252.219.72:5140
CCTV-6高清,http://gzly.hkychina.com:6005/udp/239.252.219.237:5140
CCTV6高清,http://gzly.hkychina.com:6005/udp/239.252.220.195:5140
CCTV-7高清,http://gzly.hkychina.com:6005/udp/239.252.220.185:5140
CCTV-8高清,http://gzly.hkychina.com:6005/udp/239.252.219.253:5140
CCTV8高清,http://gzly.hkychina.com:6005/udp/239.252.220.196:5140
CCTV-9高清,http://gzly.hkychina.com:6005/udp/239.252.220.186:5140
CCTV-10高清,http://gzly.hkychina.com:6005/udp/239.252.220.91:5140
CCTV-11高清,http://gzly.hkychina.com:6005/udp/239.252.219.78:5140
CCTV-12高清,http://gzly.hkychina.com:6005/udp/239.252.220.187:5140
CCTV-13高清,http://gzly.hkychina.com:6005/udp/239.252.219.139:5140
CCTV-14高清,http://gzly.hkychina.com:6005/udp/239.252.220.92:5140
CCTV-15高清,http://gzly.hkychina.com:6005/udp/239.252.219.79:5140
CCTV-16高清,http://gzly.hkychina.com:6005/udp/239.252.219.70:5140
CCTV-17高清,http://gzly.hkychina.com:6005/udp/239.252.220.192:5140
CCTV-4欧洲高清,http://gzly.hkychina.com:6005/udp/239.252.219.192:5140
