﻿风儿vento电视,#genre#
CCTV-1 综合,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001331/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CCTV13新闻频道,rtmp://live-play.cctvnews.cctv.com/cctv/merge_cctv13
CCTV15,http://[2409:8087:1a01:df::4077]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
广东卫视,http://[2409:8087:7000:20:1000::22]:6060/yinhe/2/ch00000090990000001337/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
广东珠江,http://glive.grtn.cn/live/lizhi.m3u8
广西卫视,http://gzly.hkychina.com:6005/udp/239.252.219.183:5140
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
CGTN,https://live.cgtn.com/1000/prog_index.m3u8
台视新闻,http://38.64.72.148:80/hls/modn/list/4013/chunklist1.m3u8
日本24新闻,https://n24-cdn-live.ntv.co.jp/ch01/index_high.m3u8
